,username,timestamp,location,following,followers,totaltweets,retweetcount,text,hashtags
0,Sudarsu23689648,2021-01-14 15:57:29,West bengal,147,110,6557,6,"CM #MamataBanerjee today reached #Baghbazar where the blaze destroyed homes of 100 families living in shanties. #KMC will rehabilitate them and alternate arrangements have been made for now. Food, blanket &amp; shelter to be provided by the state govt in the time being. https://t.co/6PzPLykAcw","['MamataBanerjee', 'Baghbazar', 'KMC']"
1,Geetanj79731544,2021-01-14 11:45:30,,40,5,1566,10,"#Update | A massive fire broke out in Kolkata's #Baghbazar area this evening. 20 fire engines are at the spot trying to bring the fire under control which broke out at a slum in the area. No one has been injured yet 

Read here: https://t.co/hikBHKCujM https://t.co/BhKiOXLcqL","['Update', 'Baghbazar']"
2,iamskshabbir,2021-01-14 11:20:11,Kolkata,1714,239,25771,6,"CM #MamataBanerjee today reached #Baghbazar where the blaze destroyed homes of 100 families living in shanties. #KMC will rehabilitate them and alternate arrangements have been made for now. Food, blanket &amp; shelter to be provided by the state govt in the time being. https://t.co/6PzPLykAcw","['MamataBanerjee', 'Baghbazar', 'KMC']"
3,Chef_arindam,2021-01-14 09:11:47,INDIA,257,249,6455,6,"CM #MamataBanerjee today reached #Baghbazar where the blaze destroyed homes of 100 families living in shanties. #KMC will rehabilitate them and alternate arrangements have been made for now. Food, blanket &amp; shelter to be provided by the state govt in the time being. https://t.co/6PzPLykAcw","['MamataBanerjee', 'Baghbazar', 'KMC']"
4,dibyendumondal,2021-01-14 08:28:50,Delhi,1474,469,8300,6,"CM #MamataBanerjee today reached #Baghbazar where the blaze destroyed homes of 100 families living in shanties. #KMC will rehabilitate them and alternate arrangements have been made for now. Food, blanket &amp; shelter to be provided by the state govt in the time being. https://t.co/6PzPLykAcw","['MamataBanerjee', 'Baghbazar', 'KMC']"
5,dey_rivu,2021-01-14 08:21:25,,669,92,2700,6,"CM #MamataBanerjee today reached #Baghbazar where the blaze destroyed homes of 100 families living in shanties. #KMC will rehabilitate them and alternate arrangements have been made for now. Food, blanket &amp; shelter to be provided by the state govt in the time being. https://t.co/6PzPLykAcw","['MamataBanerjee', 'Baghbazar', 'KMC']"
6,SreyashiDey,2021-01-14 08:04:17,"Kolkata, India",538,5937,10633,6,"CM #MamataBanerjee today reached #Baghbazar where the blaze destroyed homes of 100 families living in shanties. #KMC will rehabilitate them and alternate arrangements have been made for now. Food, blanket &amp; shelter to be provided by the state govt in the time being. https://t.co/6PzPLykAcw","['MamataBanerjee', 'Baghbazar', 'KMC']"
7,SrimantiG,2021-01-14 07:03:00,"Kolkata, India",224,939,6229,0,"Major #fire brokep-out in #Kolkata's #Baghbazar on Wednesday; 27 fire tenders rushed to spot, no casualties reported . @BJPMM4Bengal state president @paulagnimitra1 &amp; North Kolkata district BJMM President Smt Shilpi Mukherjee with many karyakartas rushed to the spot. https://t.co/rMY829PLh8","['fire', 'Kolkata', 'Baghbazar']"
8,dotto_Arnob,2021-01-14 06:49:50,"Kolkata, West Bengal",2166,277,1149,0,"I heard about the incident regarding Baghbazar in the morning. It is tragic. The government should consider the matter with sympathy.

#pathetic #Kolkata #fire #Baghbazar 

https://t.co/Z0oaRsXKcS","['pathetic', 'Kolkata', 'fire', 'Baghbazar']"
9,DailyhuntApp,2021-01-14 06:30:04,India,373,32551,33934,0,"Major #fire break-out in #Kolkata's #Baghbazar on Wednesday; 25 fire tenders rushed to spot, no casualties reported https://t.co/d1huJLRJ7x","['fire', 'Kolkata', 'Baghbazar']"
10,NtvTeluguLive,2021-01-14 04:30:00,Hyderabad,6,128032,84619,0,"Massive fire Breaks Out At Kolkata's Baghbazar, Several injured 

#Kolkata #Baghbazar #NTVNews #NTVTelugu https://t.co/daha84zFvp","['Kolkata', 'Baghbazar', 'NTVNews', 'NTVTelugu']"
11,AmiHolamRohan,2021-01-14 02:57:59,"Birati, Kolkata",4721,94,51580,2,"Massive fire at Kolkata's Baghbazar.

🙏 #Baghbazar #Kolkata https://t.co/cfuJnaUYMA","['Baghbazar', 'Kolkata']"
12,Hussain88846117,2021-01-14 02:34:33,,341,19,382,3,"A fire broke out at a colony in #Baghbazar area of Kolkata on Wednesday. As many as 25 fire tenders were rushed to the spot. There are no reports yet on any casualties.
Catch more here: https://t.co/CmDtl3HS8w https://t.co/AKEcwTGMzb",['Baghbazar']
13,SANGRAM38134786,2021-01-14 02:31:11,"BALASORE, ODISHA ",103,103,451,10,"#Update | A massive fire broke out in Kolkata's #Baghbazar area this evening. 20 fire engines are at the spot trying to bring the fire under control which broke out at a slum in the area. No one has been injured yet 

Read here: https://t.co/hikBHKCujM https://t.co/BhKiOXLcqL","['Update', 'Baghbazar']"
14,surojithansda,2021-01-14 02:25:51,kolkata,46,59,154,0,"Massive fire breaks out at Bagbazar slum area in north #Kolkata spread to Mayer Bari at least 25 fire tenders at the scene, no casualties reported so far. #Baghbazar https://t.co/3pyKtNnjxq","['Kolkata', 'Baghbazar']"
15,RABINATHJHA,2021-01-14 01:55:18,"Peterborough, England",2521,244,11533,2,"RAF deployed at #Baghbazar. 

Angry locals say the fire engines reached late. Fire still not under control. Media has also been attacked by the locals at the spot. 

Fire Minister currently in Gangasagar taking stock of the preparations of the pilgrimage. https://t.co/lA7ML4dTyA",['Baghbazar']
16,RathodRakesh_,2021-01-14 01:43:04,"Gujarat, India",67,14,27,8,"Massive Fire At #Kolkata’s #Baghbazar, fire tenders at the spot. https://t.co/BnFyA7pbpv","['Kolkata', 'Baghbazar']"
17,Android_dev_me,2021-01-13 18:57:43,,68,6,107,2,"RAF deployed at #Baghbazar. 

Angry locals say the fire engines reached late. Fire still not under control. Media has also been attacked by the locals at the spot. 

Fire Minister currently in Gangasagar taking stock of the preparations of the pilgrimage. https://t.co/lA7ML4dTyA",['Baghbazar']
18,dey_rivu,2021-01-13 18:34:24,,669,92,2700,3,Fire under control. #TMC MP Sudip Bandhopadhyay &amp; Minister Firhad Hakim at the spot. 800 families affected due to the blaze in #Baghbazar today. https://t.co/09l8JLWnzj,['TMC']
