,username,timestamp,location,following,followers,totaltweets,retweetcount,text,hashtags
0,gsouvik1,2021-01-14 03:19:49,"Kolkata, West Bengal",681,129,1630,0,"West Bengal Minister and the chairman of Kolkata Municipal Corporation board of directors, Firhad Hakim, at Bagbazar where a massive fire broke out on Wednesday evening. #kolkata #kolkatafire #fire #westbengal https://t.co/X4lAt9k9X2","['kolkata', 'kolkatafire', 'fire', 'westbengal']"
1,RayTapabrata,2021-01-13 22:54:48,"Kolkata, India",44,327,234,0,Please stand by them 🙏🏻 #bagbazarblaze #firebreaksout #kolkatafire #standby #majorblaze @timesofindia @BBCBreaking @BBCWorld @BBCHindi @AkashvaniAIR @airnewsalerts @IndiaToday @PTI_News @ABPNews @CNNnews18 @cnnbrk @SkyNews @PMOIndia #bemgalslum #pleasehelp https://t.co/VuRN46uhhq,"['bagbazarblaze', 'firebreaksout', 'kolkatafire', 'standby', 'majorblaze', 'bemgalslum', 'pleasehelp']"
2,CabipoolKOL,2021-01-13 16:44:15,"Kolkata, India",15,180,11694,2,"Major traffic chaos in north #Kolkata due to the fire. 
#KolkataFire","['Kolkata', 'KolkataFire']"
3,MdNadeem150,2021-01-13 16:43:24,kingdom of saudi arbiya,2047,1170,1433,3,"According to officials, 24 fire tenders are at the spot.
(@iindrojit)

#Kolkata #WestBengal #KolkataFire 

https://t.co/MZgvrFpjcM","['Kolkata', 'WestBengal', 'KolkataFire']"
4,indigokores,2021-01-13 16:34:33,"Seoul, Republic of Korea",547,1049,359522,3,"According to officials, 24 fire tenders are at the spot.
(@iindrojit)

#Kolkata #WestBengal #KolkataFire 

https://t.co/MZgvrFpjcM","['Kolkata', 'WestBengal', 'KolkataFire']"
5,IndiaTodayFLASH,2021-01-13 16:32:03,,117,1126623,422152,3,"According to officials, 24 fire tenders are at the spot.
(@iindrojit)

#Kolkata #WestBengal #KolkataFire 

https://t.co/MZgvrFpjcM","['Kolkata', 'WestBengal', 'KolkataFire']"
6,IndiaToday,2021-01-13 16:31:32,India,247,5464270,823338,3,"According to officials, 24 fire tenders are at the spot.
(@iindrojit)

#Kolkata #WestBengal #KolkataFire 

https://t.co/MZgvrFpjcM","['Kolkata', 'WestBengal', 'KolkataFire']"
7,Koustab_Halder,2021-01-13 16:10:45,"Kolkata, India",1344,71,10669,2,"25 fire tenders are trying to control the situation. Several fire engines are damaged by locals who claimed fire men were late in arriving. 
#KolkataFire",[]
8,Koustab_Halder,2021-01-13 16:10:37,"Kolkata, India",1344,71,10669,1,"Fire at Baghbazar where fighters are trying to control the situation. A fireman is injured. 
#KolkataFire https://t.co/zDAs8eBEnR",['KolkataFire']
9,SreyashiDey,2021-01-13 16:07:42,"Kolkata, India",538,5937,10633,2,"25 fire tenders are trying to control the situation. Several fire engines are damaged by locals who claimed fire men were late in arriving. 
#KolkataFire",[]
