,username,timestamp,location,following,followers,totaltweets,retweetcount,text,hashtags
0,BjpPatashpur,2021-01-15 21:35:24,Patashpur Bidhansava,19,264,43467,7,"Today distributed some blankets, biscuit packets &amp; puffed rice packets to the homeless families of Baghbazar fire incident. @BJPMM4Bengal @keyakahe @TheUntamedFire @paulagnimitra1 @BJP4Bengal https://t.co/4PdTD8POas",[]
1,keshobdasbjp,2021-01-15 10:39:50,"Jangipur, India",318,264,12495,7,"Today distributed some blankets, biscuit packets &amp; puffed rice packets to the homeless families of Baghbazar fire incident. @BJPMM4Bengal @keyakahe @TheUntamedFire @paulagnimitra1 @BJP4Bengal https://t.co/4PdTD8POas",[]
2,SouravB50899943,2021-01-15 09:11:32,"HALDIA,Purba Medinipur",43,4,749,7,"Today distributed some blankets, biscuit packets &amp; puffed rice packets to the homeless families of Baghbazar fire incident. @BJPMM4Bengal @keyakahe @TheUntamedFire @paulagnimitra1 @BJP4Bengal https://t.co/4PdTD8POas",[]
3,ChanchalSu,2021-01-15 08:57:47,,34,27,1429,7,"Today distributed some blankets, biscuit packets &amp; puffed rice packets to the homeless families of Baghbazar fire incident. @BJPMM4Bengal @keyakahe @TheUntamedFire @paulagnimitra1 @BJP4Bengal https://t.co/4PdTD8POas",[]
4,chakrabortty65,2021-01-15 08:52:19,,43,55,6591,7,"Today distributed some blankets, biscuit packets &amp; puffed rice packets to the homeless families of Baghbazar fire incident. @BJPMM4Bengal @keyakahe @TheUntamedFire @paulagnimitra1 @BJP4Bengal https://t.co/4PdTD8POas",[]
5,LKM7462,2021-01-15 07:07:05,Panskura,44,17,4324,7,"Today distributed some blankets, biscuit packets &amp; puffed rice packets to the homeless families of Baghbazar fire incident. @BJPMM4Bengal @keyakahe @TheUntamedFire @paulagnimitra1 @BJP4Bengal https://t.co/4PdTD8POas",[]
6,swatiatrest,2021-01-15 02:44:27,,765,1465,17689,0,"Oh no! It seems that apart from ruining many lives, the physical copy of the first issue of Udbodhan (1899) has been damaged in the horrendous fire that ravaged Bagbazar yesterday. Here's hoping the Belur Math has more copies. #print 

https://t.co/L7PrE0C8Zh",['print']
7,S_k_chaudhary,2021-01-14 18:44:22,"Jalpaiguri, India",398,546,106812,9,West Bengal Chief Minister Mamata Banerjee reaches Baghbazar where fire broke out yesterday &amp; almost all shanties were completely ravaged by fire. Banerjee assured KMC will provide houses in the same place &amp; meanwhile alternative arrangements for them to stay have been made. https://t.co/4hmb5Pae7U,[]
8,kushuggupta,2021-01-14 18:18:26,"खुरजा, उत्तर प्रदेश",3668,4814,38382,7,"Today distributed some blankets, biscuit packets &amp; puffed rice packets to the homeless families of Baghbazar fire incident. @BJPMM4Bengal @keyakahe @TheUntamedFire @paulagnimitra1 @BJP4Bengal https://t.co/4PdTD8POas",[]
9,SrimantiG,2021-01-14 18:12:18,"Kolkata, India",223,929,6223,7,"Today distributed some blankets, biscuit packets &amp; puffed rice packets to the homeless families of Baghbazar fire incident. @BJPMM4Bengal @keyakahe @TheUntamedFire @paulagnimitra1 @BJP4Bengal https://t.co/4PdTD8POas",[]
